conjecture,run,T,c,s,mean_tau_counterfactual,sd_tau_counterfactual,frac_action1_counterfactual,n_actual_context,mean_tau_actual,sd_tau_actual,frac_action1_actual,obs_count,obs_freq,frac_action1_observed,regret_always1_observed,regret_always0_observed
conj1,15,11,1,1,0.760163,1.54682,0.68,52,0.624347,1.37468,0.673077,292,0.265455,0.684932,0.306868,0.925048
conj1,16,11,0,0,0.357651,0.981652,0.67,46,0.30477,1.03464,0.630435,252,0.229091,0.646825,0.252241,0.538341
conj1,16,11,0,1,0.595727,1.33598,0.62,46,0.439775,1.50286,0.586957,254,0.230909,0.566929,0.478472,0.862044
conj1,16,11,1,0,0.523055,1.58263,0.58,54,0.345525,1.52776,0.555556,286,0.26,0.587413,0.422146,0.845857
conj1,16,11,1,1,0.76113,1.80692,0.66,54,0.671401,1.72441,0.666667,308,0.28,0.652597,0.444424,1.02989
conj1,17,11,0,0,0.465016,0.982376,0.66,48,0.433101,0.96293,0.645833,265,0.240909,0.671698,0.207858,0.693766
conj1,17,11,0,1,0.524174,1.38413,0.68,48,0.504149,1.4039,0.645833,263,0.239091,0.60076,0.428812,0.840417
conj1,17,11,1,0,0.750643,1.46338,0.66,52,0.771048,1.36955,0.673077,296,0.269091,0.716216,0.190901,1.11802
conj1,17,11,1,1,0.809801,1.88147,0.62,52,0.819232,1.8491,0.615385,276,0.250909,0.576087,0.356993,0.985335
conj1,18,11,0,0,0.408661,0.990584,0.67,46,0.42944,1.03274,0.652174,251,0.228182,0.641434,0.2748,0.613548
conj1,18,11,0,1,0.598834,1.36254,0.59,46,0.715393,1.36478,0.608696,255,0.231818,0.670588,0.247614,1.13921
conj1,18,11,1,0,0.578887,1.46621,0.69,54,0.794317,1.46299,0.722222,305,0.277273,0.72459,0.283317,1.08996
conj1,18,11,1,1,0.76906,1.76973,0.63,54,0.902899,1.83094,0.648148,289,0.262727,0.66436,0.358014,1.26323
conj1,19,11,0,0,0.741651,1.10821,0.76,52,0.741352,1.11809,0.75,285,0.259091,0.785965,0.145,0.950227
conj1,19,11,0,1,0.799196,1.37443,0.71,52,1.03228,1.25285,0.788462,287,0.260909,0.759582,0.196548,1.1733
conj1,19,11,1,0,1.12047,1.46863,0.8,48,1.32269,1.38879,0.916667,269,0.244545,0.907063,0.122621,1.45071
conj1,19,11,1,1,1.17802,1.66787,0.76,48,1.12741,1.74066,0.729167,259,0.235455,0.752896,0.284598,1.38117
conj1,0,21,0,0,0.266768,0.95737,0.6,57,0.124024,0.996075,0.54386,579,0.275714,0.53886,0.342303,0.452426
conj1,0,21,0,1,0.559231,1.24909,0.64,57,0.313703,1.16201,0.54386,618,0.294286,0.540453,0.361517,0.655749
conj1,0,21,1,0,0.443773,1.41824,0.58,43,0.778304,1.38811,0.72093,449,0.21381,0.746102,0.222298,1.10671
conj1,0,21,1,1,0.736237,1.6984,0.65,43,1.20702,1.7698,0.744186,454,0.21619,0.718062,0.313798,1.38457
conj1,1,21,0,0,0.371271,1.05185,0.6,47,0.4143,0.854198,0.659574,492,0.234286,0.644309,0.187407,0.592133
conj1,1,21,0,1,0.690321,1.48274,0.67,47,0.80277,1.38731,0.680851,495,0.235714,0.678788,0.200398,1.02089
conj1,1,21,1,0,0.46479,1.20994,0.59,53,0.465388,1.18823,0.603774,584,0.278095,0.59589,0.271362,0.726345
conj1,1,21,1,1,0.78384,1.59781,0.65,53,0.722877,1.5285,0.679245,529,0.251905,0.676749,0.347796,1.06209
conj1,2,21,0,0,0.374226,1.02266,0.67,42,0.346706,1.07025,0.690476,442,0.210476,0.696833,0.256697,0.593093
conj1,2,21,0,1,0.672613,1.45664,0.66,42,0.612136,1.37349,0.642857,440,0.209524,0.625,0.333492,0.87607
conj1,2,21,1,0,0.478841,1.4539,0.66,58,0.495155,1.48909,0.655172,621,0.295714,0.657005,0.40564,0.886194
conj1,2,21,1,1,0.777228,1.84194,0.66,58,0.817407,2.04054,0.62069,597,0.284286,0.636516,0.405663,1.25258
conj1,3,21,0,0,0.554251,0.938632,0.74,47,0.473245,0.865499,0.702128,516,0.245714,0.71124,0.144809,0.64934
conj1,3,21,0,1,0.79173,1.2766,0.71,47,0.758326,1.15749,0.680851,471,0.224286,0.694268,0.160052,0.927157
conj1,3,21,1,0,0.850763,1.32206,0.76,53,1.0011,1.29184,0.811321,566,0.269524,0.805654,0.154023,1.17985
conj1,3,21,1,1,1.08824,1.63589,0.74,53,1.19637,1.67039,0.773585,547,0.260476,0.760512,0.218262,1.37696
conj1,4,21,0,0,0.520146,0.940905,0.68,61,0.459751,0.958416,0.655738,647,0.308095,0.638331,0.199799,0.639837
conj1,4,21,0,1,0.938159,1.46444,0.76,61,0.790052,1.60248,0.704918,634,0.301905,0.717666,0.301295,1.10299
conj1,4,21,1,0,0.679451,1.43375,0.61,39,0.624905,1.3594,0.615385,401,0.190952,0.620948,0.301387,0.984342
conj1,4,21,1,1,1.09746,1.82362,0.7,39,1.18011,1.68773,0.769231,418,0.199048,0.770335,0.19417,1.34243
conj1,5,21,0,0,0.474221,0.914763,0.72,51,0.589746,0.887108,0.72549,565,0.269048,0.734513,0.182323,0.797497
conj1,5,21,0,1,0.61515,1.29078,0.71,51,0.679991,1.29811,0.745098,506,0.240952,0.72332,0.314853,0.83045
conj1,5,21,1,0,0.634196,1.52246,0.66,49,0.503988,1.47131,0.632653,517,0.24619,0.646035,0.317742,0.836443
conj1,5,21,1,1,0.775124,1.82771,0.65,49,0.697667,1.80955,0.612245,512,0.24381,0.587891,0.412974,1.12544
conj1,6,21,0,0,0.495643,0.991681,0.69,53,0.546554,0.991159,0.698113,579,0.275714,0.687392,0.203129,0.717655
conj1,6,21,0,1,0.800598,1.37725,0.74,53,0.710391,1.42289,0.698113,534,0.254286,0.717228,0.240367,1.02141
conj1,6,21,1,0,0.687845,1.34371,0.69,47,0.703151,1.3663,0.680851,492,0.234286,0.680894,0.260164,0.922108
conj1,6,21,1,1,0.9928,1.63622,0.68,47,1.16724,1.6452,0.765957,495,0.235714,0.779798,0.201632,1.45138
conj1,7,21,0,0,0.342065,0.918491,0.64,46,0.433814,0.847394,0.717391,488,0.232381,0.704918,0.179625,0.61154
conj1,7,21,0,1,0.696962,1.30144,0.73,46,0.848129,1.30694,0.826087,478,0.227619,0.817992,0.202076,1.01403
conj1,7,21,1,0,0.660014,1.33733,0.69,54,0.685321,1.27646,0.666667,521,0.248095,0.65643,0.253361,0.930561
conj1,7,21,1,1,1.01491,1.65689,0.72,54,0.989603,1.54668,0.722222,613,0.291905,0.71615,0.19746,1.16458
conj1,8,21,0,0,0.280543,0.946001,0.64,43,0.293659,0.78809,0.697674,471,0.224286,0.694268,0.187562,0.469616
conj1,8,21,0,1,0.492783,1.28235,0.66,43,0.531863,1.0626,0.651163,432,0.205714,0.631944,0.192245,0.727715
conj1,8,21,1,0,0.368562,1.32418,0.59,57,0.396902,1.4868,0.561404,617,0.29381,0.547812,0.38361,0.801002
conj1,8,21,1,1,0.580802,1.62575,0.63,57,0.589556,1.70698,0.631579,580,0.27619,0.622414,0.462414,1.0367
conj1,9,21,0,0,0.446271,0.988741,0.65,49,0.401493,0.979327,0.632653,528,0.251429,0.628788,0.234536,0.627876
conj1,9,21,0,1,0.750461,1.30409,0.77,49,0.719185,1.23238,0.795918,501,0.238571,0.798403,0.205035,0.910737
conj1,9,21,1,0,0.637117,1.45772,0.66,51,0.72312,1.46811,0.72549,522,0.248571,0.722222,0.248294,0.917637
conj1,9,21,1,1,0.941306,1.68498,0.74,51,1.01434,1.6988,0.745098,549,0.261429,0.76867,0.269038,1.36126
conj1,10,21,0,0,0.367525,1.00084,0.66,51,0.421996,0.915994,0.686275,525,0.25,0.700952,0.177754,0.617514
conj1,10,21,0,1,0.285438,1.31954,0.57,51,0.193284,1.29413,0.509804,546,0.26,0.509158,0.422757,0.644505
conj1,10,21,1,0,0.598913,1.4811,0.68,49,0.659882,1.56087,0.693878,496,0.23619,0.705645,0.343368,0.977824
conj1,10,21,1,1,0.516826,1.59667,0.63,49,0.730404,1.52596,0.693878,533,0.25381,0.692308,0.342888,1.11614
conj1,11,21,0,0,0.321112,1.05002,0.61,46,0.492182,1.16641,0.695652,474,0.225714,0.719409,0.198256,0.747371
conj1,11,21,0,1,0.417943,1.44096,0.59,46,0.421455,1.67141,0.543478,492,0.234286,0.520325,0.494749,0.834732
conj1,11,21,1,0,0.475816,1.4483,0.6,54,0.422854,1.3463,0.555556,567,0.27,0.553792,0.368628,0.764407
conj1,11,21,1,1,0.572648,1.80493,0.57,54,0.662422,1.55951,0.592593,567,0.27,0.590829,0.325052,0.985833
