n,mu2,tau,sigma,t,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb
50,0,0.1,0.1,192,0.77023075,0.0048873671,9.4461856,0.068841123,1.8398605,0.033211281
50,0,0.1,0.1,193,0.77145732,0.0048981089,9.4947213,0.069195993,1.8485542,0.033383301
50,0,0.1,0.1,194,0.77264631,0.0049083509,9.5432774,0.069551727,1.8572477,0.033555348
50,0,0.1,0.1,195,0.77385843,0.0049169836,9.5918425,0.06990839,1.8659386,0.03372729
50,0,0.1,0.1,196,0.77499933,0.0049319736,9.6404376,0.070263733,1.8746296,0.03389924
50,0,0.1,0.1,197,0.77611983,0.0049420926,9.6889918,0.070620805,1.883321,0.034071208
50,0,0.1,0.1,198,0.77717856,0.0049491427,9.7375697,0.070976979,1.8920057,0.034243007
50,0,0.1,0.1,199,0.77840786,0.0049568404,9.7861658,0.07133491,1.900688,0.034414675
50,0,0.5,0.1,0,0.28060947,0.0026358527,0.27855006,0.0025930949,0.2844528,0.0025400055
50,0,0.5,0.1,1,0.4740491,0.0036413771,0.55744389,0.0041699213,0.37002352,0.0029459293
50,0,0.5,0.1,2,0.57615164,0.0041589286,0.81719115,0.0054062411,0.41799163,0.003496606
50,0,0.5,0.1,3,0.63728724,0.004447959,1.0706135,0.0065837125,0.45975875,0.0041439927
50,0,0.5,0.1,4,0.67480201,0.0044824643,1.3180873,0.008009222,0.49804837,0.0047894052
50,0,0.5,0.1,5,0.70141552,0.0045531124,1.5623911,0.0095377136,0.53323197,0.005456969
50,0,0.5,0.1,6,0.71917189,0.0046347013,1.8065542,0.011070265,0.56660381,0.0061628888
50,0,0.5,0.1,7,0.73281229,0.0046334153,2.0504106,0.012596087,0.59768398,0.0068896755
50,0,0.5,0.1,8,0.74463219,0.0046232699,2.2929626,0.014219149,0.62867763,0.0075608039
50,0,0.5,0.1,9,0.75305359,0.0046111794,2.5362255,0.015893919,0.65771178,0.0082568043
50,0,0.5,0.1,10,0.76014618,0.0046086828,2.7790079,0.017582704,0.68672272,0.0089465532
50,0,0.5,0.1,11,0.76627013,0.0046146366,3.0211882,0.019287353,0.71439305,0.009636252
50,0,0.5,0.1,12,0.77169885,0.0045947476,3.2635954,0.021009047,0.7417007,0.010357995
50,0,0.5,0.1,13,0.77570219,0.0046109043,3.5058357,0.022739405,0.76802106,0.011087373
50,0,0.5,0.1,14,0.77979302,0.004609713,3.7481102,0.024475775,0.79341551,0.011821094
50,0,0.5,0.1,15,0.78327633,0.004621794,3.990304,0.026215197,0.81940356,0.01257336
50,0,0.5,0.1,16,0.78654299,0.0046295628,4.2325387,0.02795341,0.84417268,0.013332557
50,0,0.5,0.1,17,0.78940578,0.004628585,4.474698,0.029697025,0.86894748,0.014088931
50,0,0.5,0.1,18,0.79229223,0.0046050367,4.7168234,0.031444043,0.89335276,0.014846074
50,0,0.5,0.1,19,0.79492852,0.0045909743,4.9591184,0.033200923,0.91759151,0.015613063
50,0,0.5,0.1,20,0.79784564,0.0045927591,5.2013067,0.034954617,0.94221624,0.016386502
50,0,0.5,0.1,21,0.80004252,0.0045955997,5.4434277,0.036706438,0.96644895,0.017146523
50,0,0.5,0.1,22,0.8022601,0.0045801274,5.685523,0.038459246,0.99033435,0.017932765
50,0,0.5,0.1,23,0.80443182,0.0045878959,5.9277746,0.04021696,1.0140003,0.018725293
50,0,0.5,0.1,24,0.80658362,0.0045869499,6.1700057,0.041975889,1.0376981,0.019519883
50,0,0.5,0.1,25,0.80851453,0.0045799091,6.4121236,0.043740428,1.0613305,0.020308553
50,0,0.5,0.1,26,0.81019022,0.0045717105,6.6543739,0.045507936,1.0845632,0.021094329
50,0,0.5,0.1,27,0.81164699,0.0045709498,6.8965411,0.047266167,1.1079524,0.021885959
50,0,0.5,0.1,28,0.8132729,0.0045707033,7.1387193,0.049026605,1.131152,0.022684898
50,0,0.5,0.1,29,0.81472522,0.0045620349,7.3806954,0.050784751,1.1536821,0.023494273
50,0,0.5,0.1,30,0.81617262,0.0045592866,7.6228907,0.052546763,1.1768453,0.024289436
50,0,0.5,0.1,31,0.81755893,0.0045554478,7.8649465,0.05430918,1.1994054,0.025105492
50,0,0.5,0.1,32,0.8190123,0.0045641956,8.1069012,0.056068518,1.2220971,0.025921728
50,0,0.5,0.1,33,0.8205773,0.0045703495,8.348992,0.057835501,1.244483,0.026745416
50,0,0.5,0.1,34,0.82192517,0.0045657899,8.5910086,0.059598178,1.2664443,0.027572853
50,0,0.5,0.1,35,0.82329134,0.0045630156,8.8330772,0.061361636,1.2887757,0.028400884
50,0,0.5,0.1,36,0.82468747,0.0045548382,9.0750935,0.063123101,1.3106595,0.02923367
50,0,0.5,0.1,37,0.8258188,0.0045537403,9.3171874,0.064883473,1.3329752,0.030058999
50,0,0.5,0.1,38,0.82695514,0.0045515335,9.5591942,0.066646322,1.3553139,0.030899653
50,0,0.5,0.1,39,0.82814526,0.0045509733,9.8011278,0.068406773,1.3774838,0.031726501
50,0,0.5,0.1,40,0.82917423,0.0045574992,10.043171,0.070172297,1.3994161,0.032567145
50,0,0.5,0.1,41,0.83041291,0.0045556638,10.285222,0.071937405,1.421308,0.033405743
50,0,0.5,0.1,42,0.83153657,0.0045563267,10.527177,0.073698899,1.4429506,0.034251887
50,0,0.5,0.1,43,0.83255205,0.0045590326,10.769206,0.075462478,1.4648106,0.035095587
50,0,0.5,0.1,44,0.83361026,0.0045552199,11.011163,0.077225944,1.4865997,0.035937741
50,0,0.5,0.1,45,0.83466078,0.0045559065,11.253157,0.078989689,1.5082138,0.036777235
50,0,0.5,0.1,46,0.83567181,0.0045566791,11.495219,0.080758476,1.5299255,0.037629257
50,0,0.5,0.1,47,0.83661416,0.0045598265,11.737165,0.082521841,1.551449,0.038476083
50,0,0.5,0.1,48,0.83753397,0.0045597355,11.979101,0.084284136,1.5732536,0.039315377
50,0,0.5,0.1,49,0.83850769,0.0045620719,12.221102,0.086048758,1.5947905,0.040156535
50,0,0.5,0.1,50,0.83945659,0.0045609561,12.463001,0.087809483,1.6162769,0.041005076
50,0,0.5,0.1,51,0.84028938,0.0045619128,12.704983,0.089573874,1.6375417,0.041854689
50,0,0.5,0.1,52,0.8412005,0.0045633082,12.947137,0.091341751,1.6589053,0.042707242
50,0,0.5,0.1,53,0.8420175,0.0045626436,13.189074,0.093104424,1.6801827,0.043558811
50,0,0.5,0.1,54,0.84285067,0.0045623075,13.431025,0.094866784,1.7014734,0.044407804
50,0,0.5,0.1,55,0.84369378,0.0045599772,13.672963,0.09662976,1.7227508,0.045252249
50,0,0.5,0.1,56,0.84450022,0.0045603891,13.914912,0.098394824,1.744308,0.046095525
50,0,0.5,0.1,57,0.84531224,0.0045620012,14.156947,0.10016009,1.7654457,0.046953874
50,0,0.5,0.1,58,0.84609576,0.0045617873,14.398854,0.10192239,1.7868811,0.047800346
50,0,0.5,0.1,59,0.84687352,0.004558319,14.640813,0.10368705,1.8079784,0.048657978
50,0,0.5,0.1,60,0.84760984,0.0045584121,14.882875,0.10545516,1.8289466,0.049517121
50,0,0.5,0.1,61,0.8484264,0.0045584741,15.125015,0.10722651,1.8500904,0.050372165
50,0,0.5,0.1,62,0.84915843,0.0045641605,15.366983,0.10898934,1.871084,0.05123351
50,0,0.5,0.1,63,0.84992475,0.0045658383,15.608905,0.11075201,1.8922062,0.052089543
50,0,0.5,0.1,64,0.85070197,0.0045655012,15.85087,0.11251675,1.9132432,0.052955407
50,0,0.5,0.1,65,0.85137659,0.0045661842,16.092854,0.11428006,1.9341035,0.053819571
50,0,0.5,0.1,66,0.85208402,0.0045661733,16.334957,0.11605054,1.9549969,0.054682714
50,0,0.5,0.1,67,0.85281264,0.0045662762,16.576906,0.11781566,1.9757848,0.055548129
50,0,0.5,0.1,68,0.85344931,0.004569182,16.818928,0.11958155,1.9969377,0.05640658
